id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,license,number_of_reviews_ltm
761515520214705766,"Elegant Home w/ Gourmet Kitchen, Private Deck",126644773,Evolve,Bernal Heights,37.74764426,-122.41045242,entire home/apt,0.00,2,7,2023-04-27,0.34,12,0,2022-004774STR,0
45831278,Stay in 2 level luxury condo with bridge views,28065033,Jessica,Russian Hill,37.80033000,-122.42339000,private room,0.00,30,0,,,1,0,,0
599282510275955875,Marvelous Union Square Location - Hotel Style Unit,70722023,Michael,Downtown/Civic Center,37.78725000,-122.40944000,entire home/apt,0.00,1,1,2023-09-20,0.09,74,1,0311287,1
48256170,"Hayes Valley, Modern 1BR + Comfort + Convenience",35173152,Al,Western Addition,37.76999000,-122.42651000,entire home/apt,0.00,30,2,2023-10-31,0.18,2,0,,2
52303229,UNION SQUARE - NEW HOTEL SOFT OPENING SPECIAL,423319141,Jordan,Downtown/Civic Center,37.78797000,-122.40851000,private room,0.00,1,1,2021-10-31,0.03,3,0,1083521,0
49110806,Spacious Room in San Francisco,7584596,Dennis,Bayview,37.73194334,-122.38909999,private room,0.00,1,4,2023-07-03,0.24,2,179,2023-002813STR,0
734917845735382401,Lovely 2-bedroom 1 bath in the middle of The City.,82218888,Marcello,Western Addition,37.77176000,-122.42982000,entire home/apt,0.00,30,0,,,1,0,,0
1100036338126324070,Elegant Victorian style with evening wine,545628703,Stanyan Park Hotel,Haight Ashbury,37.76807000,-122.45330000,private room,0.00,1,3,2024-07-22,0.63,2,0,Exempt,3
1017371227341770502,Fine 1BR Boutique Hotel In The Heart Of Downtown,542041520,Allen,Downtown/Civic Center,37.78841460,-122.42159350,private room,0.00,2,2,2024-02-18,0.29,270,365,Exempt,2
1124871792836247465,"Next to the quiet, scenic Sutro Heights Park",565729915,Seal Rock Inn San Francisco,Outer Richmond,37.77958290,-122.50922870,private room,0.00,1,0,,,1,112,Exempt,0
